Type,Latitude,Longitude,Report Location
Beaver Accident,47.6992,-122.2167,"(47.6291923608656, -122.186728398282)"
Beaver Accident,47.6977,-122.2164,"(47.5576821104334, -122.156421437319)"
Beaver Accident,47.6967,-122.2131,"(47.6167258135906, -122.173139389518)"
Beaver Accident,47.6971,-122.2178,"(47.5370517340417, -122.197755316941)"
Beaver Accident,47.6925,-122.2127,"(47.6124577512516, -122.14272010056)"
Beaver Accident,47.6987,-122.2143,"(47.628665694003, -122.19427287398)"
Beaver Accident,47.6935,-122.2102,"(47.5635442513027, -122.140225918768)"
Beaver Accident,47.63543,-122.2382,"(47.5643422225133, -122.188209474359)"
Beaver Accident,47.63552,-122.2374,"(47.5452255162365, -122.16735161758)"
Beaver Accident,47.63591,-122.2318,"(47.6090516220791, -122.181793731417)"
Beaver Accident,47.63591,-122.2359,"(47.5390558115465, -122.155850906966)"
Beaver Accident,47.6366,-122.24,"(47.6199779155653, -122.169989821207)"
Beaver Accident,47.6342,-122.1801,"(47.6042409259488, -122.180090164298)"
Beaver Accident,47.6247,-122.1961,"(47.6247019293543, -122.196054730371)"
Beaver Accident,47.6395,-122.21519,"(47.5949913762232, -122.151858143732)"
Beaver Accident,47.6279,-122.2393,"(47.5979194153391, -122.199296608055)"
Beaver Accident,47.6383,-122.2273,"(47.6082601542386, -122.187273044188)"
Beaver Accident,47.63516,-122.2271,"(47.561573023557, -122.157083748281)"
Beaver Accident,47.63582,-122.23885,"(47.5481709984225, -122.188469509748)"
Beaver Accident,47.62503,-122.2249,"(47.6102622506443, -122.144898800074)"
Beaver Accident,47.5719,-122.2334,"(47.5718548881898, -122.153412521121)"
Beaver Accident,47.5514,-122.2221,"(47.5513683240594, -122.172114016823)"
Beaver Accident,47.5538,-122.2145,"(47.5538454131583, -122.174504513319)"
Beaver Accident,47.6028,-122.2227,"(47.6027799017162, -122.142701553192)"
Beaver Accident,47.5422,-122.2316,"(47.5422322798575, -122.191576391564)"
Beaver Accident,47.5696,-122.1748,"(47.5695823278231, -122.174830998593)"
Beaver Accident,47.597,-122.205,"(47.6125859417606, -122.187761484809)"
Beaver Accident,47.5972,-122.207,"(47.5831576151833, -122.161116629167)"
Beaver Accident,47.599,-122.21,"(47.6237728247834, -122.155977795137)"
Beaver Accident,47.5934,-122.206,"(47.5534396899435, -122.162908032058)"
Beaver Accident,47.5964,-122.2003,"(47.5363541866762, -122.190290888003)"
Beaver Accident,47.5954,-122.1992,"(47.6053752768173, -122.199154955307)"
Beaver Accident,47.5972,-122.1576,"(47.6071505822334, -122.157581998391)"
Beaver Accident,47.5943,-122.2052,"(47.5943470887032, -122.165176739349)"
Beaver Accident,47.5932,-122.2045,"(47.5320177129568, -122.144958808419)"
Beaver Accident,47.5966,-122.2042,"(47.5659745128846, -122.17415544863)"
Beaver Accident,47.5961,-122.2071,"(47.6061202549037, -122.157080137845)"
Beaver Accident,47.6782,-122.1628,"(47.5582183226283, -122.162799035767)"
Beaver Accident,47.6693,-122.1486,"(47.5393133076468, -122.148585305276)"
Beaver Accident,47.6523,-122.1968,"(47.6222889825154, -122.196753445852)"
Beaver Accident,47.6795,-122.1596,"(47.6095058763633, -122.159618683101)"
Beaver Accident,47.6622,-122.1421,"(47.5921977943975, -122.14206683139)"
Beaver Accident,47.6502,-122.1765,"(47.5301802343114, -122.176484728991)"
Beaver Accident,47.6572,-122.1875,"(47.5719966022457, -122.187450412875)"
Beaver Accident,47.6575,-122.1955,"(47.5750034773345, -122.195456050593)"
Beaver Accident,47.6472,-122.1524,"(47.5472240846276, -122.152436382945)"
Beaver Accident,47.6877,-122.1856,"(47.5876659004047, -122.185634455664)"
Beaver Accident,47.6614,-122.1936,"(47.5614416037073, -122.19363747853)"
Beaver Accident,47.65852,-122.1923,"(47.5851834651969, -122.192309367329)"
Beaver Accident,47.65434,-122.1404,"(47.5434488817063, -122.140437642142)"
Beaver Accident,47.65305,-122.1841,"(47.5304903075306, -122.184137240164)"
Beaver Accident,47.65339,-122.1628,"(47.5338689903444, -122.162771460476)"
Beaver Accident,47.65338,-122.1572,"(47.5338306766801, -122.15724724179)"
Beaver Accident,47.6593,-122.1681,"(47.5930086914234, -122.168074214144)"
Beaver Accident,47.65652,-122.149,"(47.5652115262784, -122.148974658981)"
Beaver Accident,47.65408,-122.1499,"(47.5408285733014, -122.14994373191)"
Beaver Accident,47.65996,-122.1681,"(47.5995785469401, -122.168122339118)"
Seal Attack,47.65576,-122.1769,"(47.5576129536284, -122.176922326574)"
